Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;97,916667172;0;2580;0;52500;0;13334
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;1;2;0;1;0;92,500000162;0;8910;8586;52500;2000;20001
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;2;1;0;0;0;64,351852152;0;7600;109440;52500;1000;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;3;0;0;0;0;73,437500142;0;6390;102240;52500;0;13334
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;2;2;0;0;0;81,712963132;0;9240;95040;52500;2000;20001
5_0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;1;0;0;0;0;0;0;8;1;0;0;0;97,118056122;0;20252;0;0;74500;26668
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0;0;7;4;0;0;0;97,430556112;0;20720;0;52500;4000;20001
7_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;9;2;0;0;0;97,974537122;0;21350;0;52500;2000;13334
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;9;5;0;0;0;0;0;0;0;0;9;5;0;0;0;97,824074132;0;31020;0;52500;5000;20001
9_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;15;1;0;0;0;97,646605142;8520;34790;0;52500;1000;20001
