Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;97,916667172;0;5160;0;52500;0;13334
1_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;97,916667162;0;9720;0;52500;0;20001
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;98,842593152;0;7600;0;52500;1000;13334
3_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;1;6;4;0;0;1;87,673611142;0;24140;76680;52500;4000;20001
4_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;1;6;2;0;0;0;88,194444132;0;17160;95040;52500;2000;20001
5_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;1;6;4;0;0;0;89,699074122;0;20740;87840;52500;4000;20001
6_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7;5;0;0;0;0;0;0;0;1;7;5;0;0;0;90,823413112;0;22960;80640;52500;5000;20001
7_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11;2;0;0;0;0;0;0;0;1;11;2;0;0;0;91,970486122;0;25010;87840;52500;2000;20001
8_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;12;3;0;0;0;0;0;0;0;1;12;3;0;0;0;92,592593132;0;31680;95040;52500;3000;20001
9_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;12;1;0;0;0;0;0;0;0;1;12;1;0;0;0;92,777778142;17040;28400;102240;52500;1000;20001
10_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;16;4;2;0;0;0;0;0;0;1;16;4;2;0;0;93,005051152;0;58976;109440;52500;41000;20001
11_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;17;5;0;0;0;0;0;0;0;1;17;5;0;0;0;93,778935162;0;57510;116640;52500;5000;20001
12_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;21;7;0;0;0;0;0;0;0;1;21;7;0;0;0;93,723291172;0;78260;123840;52500;7000;20001
13_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;17;7;1;0;0;0;0;0;0;1;17;7;1;0;0;94,300595162;0;69498;116640;52500;25500;20001
14_0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;14;8;1;2;0;0;0;0;0;1;14;8;1;2;0;89,888889152;0;222528;109440;337500;173500;26668
15_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;8;2;0;0;0;0;0;1;2;22;8;2;1;1;90,503472142;0;79236;231460;52500;45000;20001
16_0;1;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;21;7;1;2;0;0;0;0;0;2;21;7;1;1;0;89,358660132;15840;137940;190080;337500;172500;26668
17_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;25;10;1;0;0;0;0;0;0;2;25;10;1;0;0;91,631944122;14640;74298;175680;52500;28500;20001
18_0;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;15;11;1;0;0;0;0;0;0;2;15;11;1;0;0;92,328216112;20160;53648;161280;52500;29500;20001
19_0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;22;9;2;0;0;0;0;0;0;2;22;9;2;0;0;92,784722122;7320;70516;175680;52500;46000;20001
20_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;24;12;1;0;0;0;0;0;1;2;24;12;1;1;0;90,879630132;15840;83688;264528;52500;30500;20001
21_0;2;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0;29;13;0;0;0;0;0;0;1;2;29;13;0;0;0;89,472854142;68160;98690;306720;105000;13000;40002
22_0;1;1;0;4;0;2;0;0;0;0;0;0;0;0;0;0;28;6;2;1;0;0;0;0;0;2;28;6;2;0;0;93,375604152;18240;96368;218880;337500;116500;26668
23_0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;35;10;3;0;0;0;0;0;1;2;35;10;3;1;0;92,858796162;19440;133974;246402;52500;65500;20001
24_0;1;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;34;11;2;2;0;0;0;0;0;2;34;11;2;1;0;91,905556172;20640;232888;247680;337500;195000;26668
