Month_Scenario;Vessels type 0;Vessels type 1;Vessels type 2;Vessels type 3;Planned round  0;Planned round  1;Planned round  2;Planned round  3;Planned round  4;Planned round  5;Planned round  6;Planned round  7;Planned round  8;Planned round  9;Planned round  10;Planned round  11;Repairs type 0;Repairs type 1;Repairs type 2;Repairs type 3;Repairs type 4;Unhandled type 0;Unhandled type 1;Unhandled type 2;Unhandled type 3;Unhandled type 4;Failures type 0;Failures type 1;Failures type 2;Failures type 3;Failures type 4;Available %;Energy Value;Production Losses P;Production Losses R;Production Losses U;Vessel costs;Repair costs;Technician costs
0_0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;1;2;1;0;0;81,562500172;0;9460;81872;0;2000;6667
1_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;1;0;4;1;0;1;0;97,829861162;0;16524;3726;52500;19500;13334
2_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;1;0;9;1;0;0;0;89,872685152;0;23560;109440;52500;1000;13334
3_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;12;5;1;0;0;0;0;0;1;0;12;5;1;0;0;91,024306142;0;44588;102240;52500;23500;13334
4_0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;6;0;0;0;0;0;0;1;0;11;6;0;0;0;93,020833132;0;37620;95040;52500;6000;6667
5_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;15;6;0;0;0;0;0;0;1;0;15;6;0;0;0;93,836806122;0;42090;87840;52500;6000;26668
6_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;16;4;2;0;1;0;0;0;1;0;16;4;2;0;1;87,103175112;0;210560;80640;52500;375500;26668
7_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;19;9;0;0;1;0;0;0;1;0;19;9;0;0;1;88,381076122;0;238754;87840;52500;343500;26668
8_0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;25;10;2;0;0;0;0;0;2;0;25;10;2;1;0;93,939043132;0;84876;122496;52500;47000;26668
9_0;1;1;0;4;3;0;0;0;0;0;0;0;0;0;0;0;22;10;0;2;0;0;0;0;0;0;22;10;0;0;0;97,354167142;25560;82644;0;337500;157000;26668
10_0;2;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;30;14;0;0;0;0;0;0;0;0;30;14;0;0;0;97,127525152;27360;110960;0;105000;14000;26668
11_0;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;29;11;1;0;0;0;0;0;0;0;29;11;1;0;0;97,659144162;19440;111618;0;52500;29500;26668
12_0;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;34;12;1;0;0;0;0;0;0;0;34;12;1;0;0;97,585470172;20640;134848;0;52500;30500;26668
13_0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;39;15;0;0;0;0;0;0;0;1;39;15;0;0;1;97,053571162;19440;143370;29646;105000;15000;26668
14_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;35;9;2;0;0;0;0;0;0;1;35;9;2;0;0;96,543981152;0;117496;109440;52500;46000;13334
15_0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;44;11;2;0;0;0;0;0;1;1;44;11;2;1;0;95,403646142;0;134616;166140;52500;48000;13334
16_0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;46;16;2;0;0;0;0;0;1;1;46;16;2;0;0;94,857026132;0;142296;190080;52500;53000;20001
